Execution Time,Expectation Value,State_0,State_1,State_2,State_3,State_4,State_5,State_6,State_7,State_8,State_9,State_10,State_11,State_12,State_13,State_14,State_15
1.332064151763916,0.814,0.417,0.01,0.004,0.004,0.006,0.0,0.0,0.014,0.034,0.001,0.001,0.01,0.001,0.008,0.007,0.483
1.3506217002868652,0.77,0.412,0.01,0.008,0.005,0.005,0.0,0.0,0.017,0.052,0.003,0.001,0.011,0.0,0.01,0.002,0.464
1.2012653350830078,0.798,0.456,0.004,0.007,0.005,0.011,0.0,0.001,0.009,0.038,0.0,0.001,0.016,0.001,0.012,0.004,0.435
1.3081343173980713,0.8,0.415,0.005,0.008,0.003,0.01,0.0,0.0,0.015,0.041,0.002,0.001,0.016,0.003,0.002,0.003,0.476
1.489447832107544,0.822,0.423,0.004,0.004,0.003,0.004,0.0,0.001,0.015,0.035,0.0,0.001,0.015,0.001,0.007,0.005,0.482
1.3314619064331055,0.812,0.432,0.007,0.009,0.003,0.013,0.001,0.0,0.009,0.037,0.0,0.0,0.006,0.001,0.008,0.005,0.469
1.2935059070587158,0.82,0.449,0.007,0.003,0.003,0.009,0.0,0.0,0.011,0.036,0.001,0.0,0.013,0.003,0.008,0.003,0.454
1.2553925514221191,0.762,0.422,0.003,0.012,0.001,0.012,0.0,0.0,0.012,0.044,0.0,0.0,0.018,0.005,0.013,0.005,0.453
1.4013140201568604,0.784,0.447,0.007,0.007,0.001,0.007,0.001,0.0,0.01,0.034,0.001,0.002,0.019,0.002,0.015,0.009,0.438
1.3948006629943848,0.772,0.411,0.008,0.004,0.003,0.006,0.0,0.0,0.016,0.047,0.002,0.001,0.021,0.001,0.007,0.005,0.468
1.3076982498168945,0.806,0.443,0.004,0.005,0.001,0.007,0.0,0.0,0.018,0.046,0.0,0.0,0.008,0.001,0.008,0.001,0.458
1.3121719360351562,0.822,0.446,0.004,0.007,0.002,0.007,0.001,0.0,0.017,0.03,0.002,0.0,0.012,0.003,0.008,0.004,0.457
1.3346734046936035,0.804,0.417,0.003,0.005,0.002,0.006,0.001,0.0,0.012,0.038,0.001,0.002,0.016,0.0,0.012,0.006,0.479
1.3302159309387207,0.794,0.425,0.007,0.007,0.004,0.007,0.0,0.0,0.014,0.039,0.002,0.0,0.022,0.001,0.004,0.003,0.465
1.3227477073669434,0.82,0.437,0.009,0.008,0.002,0.007,0.0,0.0,0.011,0.03,0.0,0.0,0.015,0.001,0.009,0.001,0.47
1.2831535339355469,0.808,0.456,0.014,0.006,0.004,0.014,0.0,0.001,0.008,0.041,0.0,0.001,0.005,0.002,0.005,0.003,0.44
1.3681468963623047,0.812,0.439,0.006,0.009,0.002,0.01,0.0,0.0,0.011,0.036,0.003,0.0,0.011,0.003,0.006,0.005,0.459
